1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French
3,"Cardinal Slant-Dﾮ Ring Binder, Heavy Gauge Vinyl",Barry French
4,R380,Clay Rozendal
5,Holmes HEPA Air Purifier,Carlos Soltero
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle
10,Xerox 198,Dorothy Badders
11,Xerox 1980,Neola Schneider
12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider
13,Holmes HEPA Air Purifier,Carlos Daly
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly
15,"Wilson Jones 1"" Hanging DublLockﾮ Ring Binders",Claudia Miner
16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider
17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt
18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston
20,g520,Jim Radford
21,LX 788,Jim Radford
22,Avery 52,Carlos Soltero
23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig
26,Newell 335,Don Miller
27,SANFORD Liquid Accentﾙ Tank-Style Highlighters,Annie Cyprus
28,Canon PC940 Copier,Carl Ludwig
29,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero
30,Col-Eraseﾮ Pencils with Erasers,Grant Carroll
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller
33,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes
34,Accessory37,Alan Barnes
35,Fuji 5.2GB DVD-RAM,Jack Garza
36,Bevis Steel Folding Chairs,Julia West
37,Avery Binder Labels,Eugene Barchas
38,Hon Every-Dayﾮ Chair Series Swivel Task Chairs,Eugene Barchas
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas
40,Global Troyﾙ Executive Leather Low-Back Tilter,Edward Hooks
41,XtraLifeﾮ ClearVueﾙ Slant-Dﾮ Ring Binders by Cardinal,Brad Eason
42,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen
43,6160,Dorothy Wardle
44,Avery 49,Aaron Bergman
45,Hoover Portapowerﾙ Portable Vacuum,Jim Radford
46,Timeport L7089,Annie Cyprus
47,Avery 510,Annie Cyprus
48,Xerox 1881,Annie Cyprus
49,LX 788,Annie Cyprus
50,"Cardinal Slant-Dﾮ Ring Binder, Heavy Gauge Vinyl",Annie Cyprus
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal
52,Unpadded Memo Slips,Don Jones
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson
54,"Eldon Expressionsﾙ Desk Accessory, Wood Pencil Holder, Oak",Frank Price
55,Bell Sonecor JB700 Caller ID,Michelle Lonsdale
56,Avery Arch Ring Binders,Ann Chong
57,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell
59,Accessory4,Joy Bell
